nature_code,business_nature,line_code,business_line,license,permit,sanitary,garbage
2019-C,(C) MANUFACTURING,11010,"Distilling, rectifying and blending of spirits",,,,
2019-C,(C) MANUFACTURING,11021,Fruit wine manufacturing,,,,
2019-C,(C) MANUFACTURING,11029,"Wine manufacturing, n.e.c.",,,,
2019-C,(C) MANUFACTURING,11030,Manufacture of malt liquors and malt,,,,
2019-C,(C) MANUFACTURING,11041,"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",,,,
2019-C,(C) MANUFACTURING,11042,"Manufacture of drinks flavored with fruit juices, syrups or other materials",,,,
2019-C,(C) MANUFACTURING,11051,Manufacture of bottled drinking water,,,,
2019-C,(C) MANUFACTURING,11052,Manufacture of carbonated water,,,,
2019-C,(C) MANUFACTURING,11053,Water purifying and refilling station,,,,
2019-C,(C) MANUFACTURING,11059,"Manufacture of drinking water and mineral water, n.e.c.",,,,
2019-C,(C) MANUFACTURING,11060,Manufacture of sports and energy drink,,,,
2019-C,(C) MANUFACTURING,11090,"Manufacture of other beverages, n.e.c.",,,,
2019-C,(C) MANUFACTURING,12010,Manufacture of cigarettes,,,,
2019-C,(C) MANUFACTURING,12020,Manufacture of cigars,,,,
2019-C,(C) MANUFACTURING,12030,"Manufacture of chewing and smoking tobacco, snuff",,,,
2019-C,(C) MANUFACTURING,12040,Curing and redrying tobacco leaves,,,,
2019-C,(C) MANUFACTURING,12090,"Tobacco manufacturing, n.e.c.",,,,
2019-C,(C) MANUFACTURING,13111,Spinning ,,,,
2019-C,(C) MANUFACTURING,13112,Texturizing,,,,
2019-C,(C) MANUFACTURING,13113,Manufacture of paper yarn,,,,
2019-C,(C) MANUFACTURING,13119,"Preparation of textiles, n.e.c.",,,,
2019-C,(C) MANUFACTURING,13120,Weaving of textiles,,,,
2019-C,(C) MANUFACTURING,13130,Finishing of textiles,,,,
2019-C,(C) MANUFACTURING,13140,Preparation and finishing of textiles (integrated),,,,
2019-C,(C) MANUFACTURING,13910,Manufacture of knitted and crocheted fabrics,,,,
2019-C,(C) MANUFACTURING,13921,Manufacture of textile industrial bags,,,,
2019-C,(C) MANUFACTURING,13922,Manufacture of made-up textile goods for house furnishings,,,,
2019-C,(C) MANUFACTURING,13923,Manufacture of canvas products,,,,
2019-C,(C) MANUFACTURING,13929,"Manufacture of made-up textile articles, except wearing apparel, n.e.c.",,,,
2019-C,(C) MANUFACTURING,13931,"Manufacture of carpets and rugs, except mats of textile materials",,,,
2019-C,(C) MANUFACTURING,13932,Manufacture of mats (including mattings) of textile materials,,,,
2019-C,(C) MANUFACTURING,13941,"Manufacture of cordage, rope, and twine",,,,
2019-C,(C) MANUFACTURING,13942,"Manufacture of fishing nets and other nettings, (excluding mosquito and hairnets)",,,,
2019-C,(C) MANUFACTURING,13943,"Manufacture of products of cordage, rope and twine ",,,,
2019-C,(C) MANUFACTURING,13950,Manufacture of embroidered fabrics,,,,
2019-C,(C) MANUFACTURING,13991,"Manufacture of narrow fabrics, laces, tulles and other net fabrics",,,,
2019-C,(C) MANUFACTURING,13992,Manufacture of felt and non-woven fabrics,,,,
2019-C,(C) MANUFACTURING,13993,"Manufacture of fabrics, impregnated, coated, covered or laminated with plastic",,,,
2019-C,(C) MANUFACTURING,13994,"Manufacture of fabrics, impregnated, coated, covered or laminated other than with plastic and rubber",,,,
2019-C,(C) MANUFACTURING,13995,Manufacture of fabrics for industrial use (wicks and gas mantles),,,,
2019-C,(C) MANUFACTURING,13996,"Manufacture of fiber batting, padding and upholstery filling including coir",,,,
2019-C,(C) MANUFACTURING,13999,"Manufacture of miscellaneous textiles, n.e.c.",,,,
2019-C,(C) MANUFACTURING,14110,Men's and boy's garment manufacturing,,,,
2019-C,(C) MANUFACTURING,14120,Women's and girl's garment manufacturing,,,,
2019-C,(C) MANUFACTURING,14130,Ready-made embroidered garments manufacturing,,,,
2019-C,(C) MANUFACTURING,14140,Babies' Garment Manufacturing,,,,
2019-C,(C) MANUFACTURING,14191,Manufacture of raincoats by cutting or sewing except rubber or plastics,,,,
2019-C,(C) MANUFACTURING,14192,"Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",,,,
2019-C,(C) MANUFACTURING,14193,Manufacture of sportswear,,,,
2019-C,(C) MANUFACTURING,14199,"Manufacture of wearing apparel, n.e.c",,,,
2019-C,(C) MANUFACTURING,14210,Custom tailoring ,,,,
2019-C,(C) MANUFACTURING,14220,Custom dressmaking,,,,
2019-C,(C) MANUFACTURING,14301,Manufacture of knitted and crocheted apparel,,,,
2019-C,(C) MANUFACTURING,14302,"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted or crocheted directly into shape",,,,
2019-C,(C) MANUFACTURING,14309,"Manufacture of knitted and crocheted articles, n.e.c.",,,,
2019-C,(C) MANUFACTURING,14400,Manufacture of articles of fur,,,,
2019-C,(C) MANUFACTURING,15110,Tanning and dressing of leather,,,,
2019-C,(C) MANUFACTURING,15121,"Manufacture of luggage, handbags and wallets of leather and imitation leather",,,,
2019-C,(C) MANUFACTURING,15129,"Manufacture of products of leather and imitation leather, n.e.c.",,,,
2019-C,(C) MANUFACTURING,15210,Manufacture of leather shoes,,,,
2019-C,(C) MANUFACTURING,15220,Manufacture of rubber shoes,,,,
2019-C,(C) MANUFACTURING,15230,Manufacture of plastic shoes,,,,
2019-C,(C) MANUFACTURING,15240,Manufacture of shoes made of textile materials with applied soles,,,,
2019-C,(C) MANUFACTURING,15250,Manufacture of wooden footwear and accessories,,,,
2019-C,(C) MANUFACTURING,15291,Manufacture of rubber slippers,,,,
2019-C,(C) MANUFACTURING,15292,"Manufacture of slippers and sandals, other than rubber",,,,
2019-C,(C) MANUFACTURING,15293,Manufacture of leather parts of footwear ,,,,
2019-C,(C) MANUFACTURING,15299,"Manufacture of other footwear, n.e.c.",,,,
2019-C,(C) MANUFACTURING,16101,Manufacture of rough lumber,,,,
2019-C,(C) MANUFACTURING,16102,Manufacture of worked lumber,,,,
2019-C,(C) MANUFACTURING,16103,Wood preserving and drying,,,,
2019-C,(C) MANUFACTURING,16109,"Sawmilling and planing of wood products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,16211,Manufacture of veneer sheets and plywood,,,,
2019-C,(C) MANUFACTURING,16212,"Manufacture of laminboard, particle board and other panels and board",,,,
2019-C,(C) MANUFACTURING,16220,"Manufacture of wooden window and door screens, shades and venetian blinds",,,,
2019-C,(C) MANUFACTURING,16230,Manufacture of other builders' carpentry and joinery; millworking,,,,
2019-C,(C) MANUFACTURING,16240,Manufacture of wooden containers ,,,,
2019-C,(C) MANUFACTURING,16250,Manufacture of wood carvings,,,,
2019-C,(C) MANUFACTURING,16260,Manufacture of charcoal outside the forest,,,,
2019-C,(C) MANUFACTURING,16270,Manufacture of wooden wares ,,,,
2019-C,(C) MANUFACTURING,16281,Manufacture of rattan and cane containers,,,,
2019-C,(C) MANUFACTURING,16282,"Manufacture of sawali, nipa and split canes",,,,
2019-C,(C) MANUFACTURING,16283,"Manufacture of mats, matting or screen",,,,
2019-C,(C) MANUFACTURING,16284,Manufacture of small cane wares,,,,
2019-C,(C) MANUFACTURING,16285,"Manufacture of articles of cork, straw and plaiting materials",,,,
2019-C,(C) MANUFACTURING,16289,"Manufacture of other products of bamboo, cane, rattan and the like, and plaiting materials except furniture, n.e.c.",,,,
2019-C,(C) MANUFACTURING,16290,"Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e.c.",,,,
2019-C,(C) MANUFACTURING,17011,"Integrated pulp, paper and paperboard milling",,,,
2019-C,(C) MANUFACTURING,17012,Pulp milling,,,,
2019-C,(C) MANUFACTURING,17013,Paper and paperboard milling,,,,
2019-C,(C) MANUFACTURING,17014,Manufacture of hand-made paper,,,,
2019-C,(C) MANUFACTURING,17019,"Manufacture of pulp, paper and paperboard, n.e.c.",,,,
2019-C,(C) MANUFACTURING,17020,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,,,,
2019-C,(C) MANUFACTURING,17091,Manufacture of household and personal hygiene paper and cellulose wadding products,,,,
2019-C,(C) MANUFACTURING,17092,"Manufacture of wadding of textile materials and articles of wadding (e.g. sanitary towels, tampons, etc.)",,,,
2019-C,(C) MANUFACTURING,17093,Manufacture of other articles of paper,,,,
2019-C,(C) MANUFACTURING,17099,Manufacture of other articles of paperboard,,,,
2019-C,(C) MANUFACTURING,18110,Printing,,,,
2019-C,(C) MANUFACTURING,18121,"Electrotyping, stereotyping and photoengraving",,,,
2019-C,(C) MANUFACTURING,18122,Bookbinding and related work,,,,
2019-C,(C) MANUFACTURING,18129,"Service activities related to printing, n.e.c.",,,,
2019-C,(C) MANUFACTURING,18201,Reproduction of video and computer tapes from master copies,,,,
2019-C,(C) MANUFACTURING,18202,"Reproduction of floppy, hard or  compact disks",,,,
2019-C,(C) MANUFACTURING,18203,Film and video reproduction,,,,
2019-C,(C) MANUFACTURING,19100,Manufacture of coke oven products,,,,
2019-C,(C) MANUFACTURING,19200,Manufacture of refined petroleum products,,,,
2019-C,(C) MANUFACTURING,19900,Manufacture of other fuel products,,,,
2019-C,(C) MANUFACTURING,20111,Manufacture of ethanol,,,,
2019-C,(C) MANUFACTURING,20112,Manufacture of industrial (compressed and liquefied) gases,,,,
2019-C,(C) MANUFACTURING,20113,Manufacture of inorganic salts and compounds,,,,
2019-C,(C) MANUFACTURING,20114,Manufacture of ethyl alcohol,,,,
2019-C,(C) MANUFACTURING,20115,Manufacture of alcohol except ethyl,,,,
2019-C,(C) MANUFACTURING,20116,"Manufacture of inorganic acids, alkalis and chlorine",,,,
2019-C,(C) MANUFACTURING,20117,Manufacture of organic acids and organic compounds,,,,
2019-C,(C) MANUFACTURING,20119,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",,,,
2019-C,(C) MANUFACTURING,20120,Manufacture of fertilizers and nitrogen compounds,,,,
2019-C,(C) MANUFACTURING,20131,"Manufacture of synthetic rubber and factice derived from oils, in primary forms",,,,
2019-C,(C) MANUFACTURING,20132,"Production   of  mixtures  of  synthetic rubber and natural rubber or rubber-like gums (e.g., balata), in primary forms",,,,
2019-C,(C) MANUFACTURING,20133,Manufacture of plastic synthetic resins,,,,
2019-C,(C) MANUFACTURING,20134,Manufacture of plastic materials except man-made fiber and glass fiber,,,,
2019-C,(C) MANUFACTURING,20210,Manufacture of pesticides and other agro-chemical products,,,,
2019-C,(C) MANUFACTURING,20221,Manufacture of paints,,,,
2019-C,(C) MANUFACTURING,20222,"Manufacture of varnishes, lacquers, shellac and stains",,,,
2019-C,(C) MANUFACTURING,20223,"Manufacture of paint removers, thinners, and brush cleaners",,,,
2019-C,(C) MANUFACTURING,20224,Manufacture of pigments and other coloring matter of a kind used in the manufacture of paints or by artists or other painters,,,,
2019-C,(C) MANUFACTURING,20225,Manufacture of printing ink,,,,
2019-C,(C) MANUFACTURING,20229,"Manufacture of paint products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,20231,Manufacture of soap and detergents,,,,
2019-C,(C) MANUFACTURING,20232,"Manufacture of cleaning preparations, except soap and detergents",,,,
2019-C,(C) MANUFACTURING,20233,Manufacture of waxes and polishing preparations,,,,
2019-C,(C) MANUFACTURING,20234,"Manufacture of perfumes, cosmetics and other toilet preparations",,,,
2019-C,(C) MANUFACTURING,20291,"Manufacture of explosives, fireworks and firecrackers",,,,
2019-C,(C) MANUFACTURING,20292,Manufacture of matches,,,,
2019-C,(C) MANUFACTURING,20293,Manufacture of writing and drawing ink,,,,
2019-C,(C) MANUFACTURING,20294,Manufacture of glues and adhesives,,,,
2019-C,(C) MANUFACTURING,20295,Manufacture of activated carbon,,,,
2019-C,(C) MANUFACTURING,20299,"Manufacture of miscellaneous chemical products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,20301,Manufacture of synthetic or artificial filament yarn,,,,
2019-C,(C) MANUFACTURING,20302,"Manufacture of man-made filament tow or staple fibers, except glass fiber",,,,
2019-C,(C) MANUFACTURING,21001,"Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",,,,
2019-C,(C) MANUFACTURING,21002,"Manufacture of surgical dressings, medicated wadding , fracture bandages, catgut, and other prepared sutures",,,,
2019-C,(C) MANUFACTURING,22111,Manufacture of rubber tires (including parts) and tubes,,,,
2019-C,(C) MANUFACTURING,22112,Retreading and rebuilding of tires,,,,
2019-C,(C) MANUFACTURING,22191,Manufacture of rubber garments,,,,
2019-C,(C) MANUFACTURING,22192,"Manufacture of industrial and other molded rubber products, excluding tires and tubes",,,,
2019-C,(C) MANUFACTURING,22199,"Manufacture  of  other  rubber products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,22201,"Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc)",,,,
2019-C,(C) MANUFACTURING,22202,Manufacture of plastic household wares,,,,
2019-C,(C) MANUFACTURING,22203,Manufacture of plastic furniture fittings,,,,
2019-C,(C) MANUFACTURING,22204,Manufacture of plastic pipes and tubes,,,,
2019-C,(C) MANUFACTURING,22205,"Manufacture of other plastic, industrial /office/school supplies",,,,
2019-C,(C) MANUFACTURING,22206,"Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",,,,
2019-C,(C) MANUFACTURING,22207,Manufacture of linoleum and hard surface floor coverings,,,,
2019-C,(C) MANUFACTURING,22208,"Manufacture of plastic window and doorscreen, shades and venetian blinds",,,,
2019-C,(C) MANUFACTURING,22209,"Manufacture of plastics products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,23101,Manufacture of flat glass (including float glass),,,,
2019-C,(C) MANUFACTURING,23102,Manufacture of glass containers,,,,
2019-C,(C) MANUFACTURING,23103,Manufacture of glass fibers (including glass wool) and yarn of glass fibers,,,,
2019-C,(C) MANUFACTURING,23109,"Manufacture of glass and glass products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,23910,Manufacture of refractory products,,,,
2019-C,(C) MANUFACTURING,23920,Manufacture of clay building materials,,,,
2019-C,(C) MANUFACTURING,23931,Manufacture of vitreous china tableware and other kitchen articles of a kind commonly used for domestic or toilet purposes,,,,
2019-C,(C) MANUFACTURING,23932,"Manufacture of articles of porcelain or china, stoneware, earthenware, imitation porcelain or common pottery",,,,
2019-C,(C) MANUFACTURING,23933,Manufacture of coarse clay products,,,,
2019-C,(C) MANUFACTURING,23934,"Manufacture of sanitary ware, vitreous china plumbing fittings and fixtures",,,,
2019-C,(C) MANUFACTURING,23939,"Manufacture of other porcelain and ceramic products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,23940,Manufacture of cement,,,,
2019-C,(C) MANUFACTURING,23951,Manufacture of lime ,,,,
2019-C,(C) MANUFACTURING,23952,Manufacture of plaster,,,,
2019-C,(C) MANUFACTURING,23961,Manufacture of structural concrete products,,,,
2019-C,(C) MANUFACTURING,23969,"Manufacture of articles of concrete, cement and plaster, n.e.c.",,,,
2019-C,(C) MANUFACTURING,23970,"Cutting, shaping and finishing of stone",,,,
2019-C,(C) MANUFACTURING,23991,Manufacture of asphalt products,,,,
2019-C,(C) MANUFACTURING,23992,Manufacture of asbestos products,,,,
2019-C,(C) MANUFACTURING,23993,Manufacture of marble products,,,,
2019-C,(C) MANUFACTURING,23994,Manufacture of abrasive products,,,,
2019-C,(C) MANUFACTURING,23999,"Manufacture of miscellaneous non-metallic mineral products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,24110,Operation of blast furnaces and steel making furnaces,,,,
2019-C,(C) MANUFACTURING,24121,Operation of rolling mills,,,,
2019-C,(C) MANUFACTURING,24122,"Pipes and tubes manufacturing, iron or steel",,,,
2019-C,(C) MANUFACTURING,24123,Manufacture of pipe fittings of iron or steel,,,,
2019-C,(C) MANUFACTURING,24124,"Manufacture of galvanized steel sheets, tinplates and other coated metal products made in steel works or rolling mills",,,,
2019-C,(C) MANUFACTURING,24129,"Operation of steel works and rolling mills, n.e.c.",,,,
2019-C,(C) MANUFACTURING,24210,Gold and other precious metal refining,,,,
2019-C,(C) MANUFACTURING,24220,"Non-ferrous smelting and refining , except precious metals",,,,
2019-C,(C) MANUFACTURING,24230,"Non-ferrous rolling, drawing and extrusion mills",,,,
2019-C,(C) MANUFACTURING,24240,Manufacture of pipe fittings of non-ferrous metals,,,,
2019-C,(C) MANUFACTURING,24290,"Manufacture of basic precious and other non-ferrous metals, n.e.c.",,,,
2019-C,(C) MANUFACTURING,24311,Casting/foundry of iron,,,,
2019-C,(C) MANUFACTURING,24312,Casting/foundry of steel,,,,
2019-C,(C) MANUFACTURING,24321,Aluminum and aluminum base alloy casting,,,,
2019-C,(C) MANUFACTURING,24322,"Copper and copper base alloy (brass, bronze) casting",,,,
2019-C,(C) MANUFACTURING,24323,Zinc and zinc alloy casting,,,,
2019-C,(C) MANUFACTURING,24329,"Casting of non-ferrous metal, n.e.c.",,,,
2019-C,(C) MANUFACTURING,25111,"Manufacture of structural steel products and metal components of bridges, smoke stacks and buildings",,,,
2019-C,(C) MANUFACTURING,25112,"Manufacture of other architectural and related metal work (e.g., doors, windows, shutters, gates, etc.)",,,,
2019-C,(C) MANUFACTURING,25119,"Manufacture of  structural metal products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,25120,"Manufacture of tanks, reservoirs and containers of metal",,,,
2019-C,(C) MANUFACTURING,25130,"Manufacture of steam generators, except central heating hot water boilers",,,,
2019-C,(C) MANUFACTURING,25201,Manufacture of small arms and accessories,,,,
2019-C,(C) MANUFACTURING,25209,"Manufacture of weapons and ammunitions, n.e.c.",,,,
2019-C,(C) MANUFACTURING,25911,"Forging, pressing, stamping and roll-forming of metal products",,,,
2019-C,(C) MANUFACTURING,25912,Powder metallurgy,,,,
2019-C,(C) MANUFACTURING,25920,Treatment and coating of metals; machining,,,,
2019-C,(C) MANUFACTURING,25931,Manufacture of cutlery,,,,
2019-C,(C) MANUFACTURING,25932,Manufacture of hand tools,,,,
2019-C,(C) MANUFACTURING,25933,Manufacture of general hardware,,,,
2019-C,(C) MANUFACTURING,25934,Manufacture of blacksmithing tools and welding shop operation,,,,
2019-C,(C) MANUFACTURING,25935,Manufacture of molding boxes for metal foundry,,,,
2019-C,(C) MANUFACTURING,25991,Manufacture of metal containers used for the packing or conveyance of goods,,,,
2019-C,(C) MANUFACTURING,25992,"Manufacture of wire nails, not in steel rolling",,,,
2019-C,(C) MANUFACTURING,25993,Manufacture of fabricated wire products,,,,
2019-C,(C) MANUFACTURING,25994,Manufacture of small hand-operated kitchen appliances,,,,
2019-C,(C) MANUFACTURING,25995,Manufacture of metal sanitary ware and plumbing fixtures,,,,
2019-C,(C) MANUFACTURING,25996,"Manufacture of needles (except for knitting and sewing machines), pins and fasteners including zippers",,,,
2019-C,(C) MANUFACTURING,25997,"Manufacture of aluminum window and door screens, shades and venetian blinds",,,,
2019-C,(C) MANUFACTURING,25999,"Manufacture of miscellaneous fabricated metal products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,26110,Manufacture of electronic valves and tubes,,,,
2019-C,(C) MANUFACTURING,26121,Manufacture of sensors,,,,
2019-C,(C) MANUFACTURING,26122,Manufacture of actuators ,,,,
2019-C,(C) MANUFACTURING,26123,Manufacture of oscillators ,,,,
2019-C,(C) MANUFACTURING,26124,Manufacture of resonators ,,,,
2019-C,(C) MANUFACTURING,26129,"Manufacture of semi-conductor  devices and other electronic components, n.e.c.",,,,
2019-C,(C) MANUFACTURING,26200,Manufacture of computers and peripheral equipment and accessories,,,,
2019-C,(C) MANUFACTURING,26300,Manufacture of communication equipment,,,,
2019-C,(C) MANUFACTURING,26400,Manufacture of consumer electronics,,,,
2019-C,(C) MANUFACTURING,26511,"Manufacture of radar equipment, radio remote control apparatus",,,,
2019-C,(C) MANUFACTURING,26512,Manufacture of electrical quantities measuring and controlling instruments,,,,
2019-C,(C) MANUFACTURING,26513,Manufacture of temperature measuring and controlling hygrometric instruments,,,,
2019-C,(C) MANUFACTURING,26514,Manufacture of pressure measuring and controlling instruments and gauges,,,,
2019-C,(C) MANUFACTURING,26515,Manufacture of flow of liquids or gases measuring and controlling instruments,,,,
2019-C,(C) MANUFACTURING,26516,"Manufacture of mechanical motion, measuring and controlling, timing and cycle instruments",,,,
2019-C,(C) MANUFACTURING,26517,Manufacture of industrial process control equipment,,,,
2019-C,(C) MANUFACTURING,26519,"Manufacture of professional and scientific and measuring and controlling equipment, n.e.c.",,,,
2019-C,(C) MANUFACTURING,26521,Manufacture of watches and clocks of all kinds including cases of precious metals,,,,
2019-C,(C) MANUFACTURING,26529,"Manufacture of other watch and clocks parts, n.e.c.",,,,
2019-C,(C) MANUFACTURING,26601,Manufacture of X-ray apparatus,,,,
2019-C,(C) MANUFACTURING,26602,Manufacture of electrotherapeutic apparatus,,,,
2019-C,(C) MANUFACTURING,26603,Manufacture of medical laser equipment,,,,
2019-C,(C) MANUFACTURING,26604,"Manufacture of Computerized Tomography (CT) scanner, Positron Emission Tomography (PET) scanner",,,,
2019-C,(C) MANUFACTURING,26605,Manufacture of MRI equipment,,,,
2019-C,(C) MANUFACTURING,26606,Manufacture of medical ultrasound equipment,,,,
2019-C,(C) MANUFACTURING,26609,"Manufacture of other irradiation, electromedical and electrotherapeutic equipment, n.e.c.",,,,
2019-C,(C) MANUFACTURING,26701,Manufacture of optical instruments and lenses,,,,
2019-C,(C) MANUFACTURING,26702,Manufacture of photographic equipment and accessories,,,,
2019-C,(C) MANUFACTURING,26800,Manufacture of magnetic and optical media ,,,,
2019-C,(C) MANUFACTURING,27111,Manufacture of electric motors and generators,,,,
2019-C,(C) MANUFACTURING,27112,Manufacture of electrical transformers,,,,
2019-C,(C) MANUFACTURING,27113,Manufacture  of electric generating sets,,,,
2019-C,(C) MANUFACTURING,27121,Manufacture of switch gear  and switchboard apparatus,,,,
2019-C,(C) MANUFACTURING,27122,Manufacture of electricity distribution equipment,,,,
2019-C,(C) MANUFACTURING,27123,"Manufacture of switches, fuses, sockets, plugs, conductors and lightning  arresters and other control apparatus",,,,
2019-C,(C) MANUFACTURING,27201,Manufacture of accumulators (storage batteries) including parts,,,,
2019-C,(C) MANUFACTURING,27202,Manufacture of primary cells and batteries,,,,
2019-C,(C) MANUFACTURING,27310,Manufacture of fiber optic cables,,,,
2019-C,(C) MANUFACTURING,27320,Manufacture of other electronic and electric wires and cables,,,,
2019-C,(C) MANUFACTURING,27330,Manufacture of wiring devices,,,,
2019-C,(C) MANUFACTURING,27401,Manufacture of electric lamps fluorescent and fixtures,,,,
2019-C,(C) MANUFACTURING,27402,Manufacture of lighting equipment and parts except for use on cycle and motor equipment,,,,
2019-C,(C) MANUFACTURING,27403,Manufacture of motor vehicle lighting equipment,,,,
2019-C,(C) MANUFACTURING,27404,Manufacture of bicycle lighting equipment,,,,
2019-C,(C) MANUFACTURING,27405,Manufacture of lighting sets used for Christmas trees and the like,,,,
2019-C,(C) MANUFACTURING,27501,Manufacture of domestic electric fans,,,,
2019-C,(C) MANUFACTURING,27502,"Manufacture of domestic-type refrigerators and laundry equipment (e.g. clothes washers, washer-dryers, dryers)",,,,
2019-C,(C) MANUFACTURING,27503,"Manufacture of domestic  cooking appliances (e.g. ovens, ranges, cookers, stoves, grillers, etc.)",,,,
2019-C,(C) MANUFACTURING,27504,"Manufacture of electrothermic domestic appliances (e.g. hair dressing appliances, electric instantaneous storage, heaters, flat-irons, plate warmers, coffee or tea makers)",,,,
2019-C,(C) MANUFACTURING,27505,Manufacture of domestic-type water filters and/or purifiers,,,,
2019-C,(C) MANUFACTURING,27509,"Manufacture of domestic appliances, n.e.c.",,,,
2019-C,(C) MANUFACTURING,27901,"Manufacture of battery chargers, solid state",,,,
2019-C,(C) MANUFACTURING,27902,Manufacture of uninterruptible power supplies (UPS),,,,
2019-C,(C) MANUFACTURING,27903,"Manufacture of appliance cords, extension cords, and other electrical cord",,,,
2019-C,(C) MANUFACTURING,27904,"Manufacture of accelerators (cyclotrons, betatrons)",,,,
2019-C,(C) MANUFACTURING,27905,Manufacture of electrical signalling equipment such as traffic lights and pedestrian signalling equipment,,,,
2019-C,(C) MANUFACTURING,27909,"Manufacture of other electrical equipment, n.e.c.",,,,
2019-C,(C) MANUFACTURING,28111,Manufacture of internal combustion engines (gas and diesel),,,,
2019-C,(C) MANUFACTURING,28112,Manufacture of  engines and turbines for marine propulsion,,,,
2019-C,(C) MANUFACTURING,28113,"Manufacture of parts of engines and turbines, except for aircraft, vehicle and cycle engines",,,,
2019-C,(C) MANUFACTURING,28119,"Manufacture of engines and turbines, except for transport, n.e.c.",,,,
2019-C,(C) MANUFACTURING,28120,Manufacture of fluid power equipment,,,,
2019-C,(C) MANUFACTURING,28131,"Manufacture of pumps for liquids, vacuum pumps, air or other gas compressors",,,,
2019-C,(C) MANUFACTURING,28132,"Manufacture of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like",,,,
2019-C,(C) MANUFACTURING,28140,"Manufacture of bearings, gears and driving elements",,,,
2019-C,(C) MANUFACTURING,28150,"Manufacture of ovens, furnaces and furnace burners",,,,
2019-C,(C) MANUFACTURING,28161,"Manufacture of lifting and hoisting machinery, cranes, elevators, industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",,,,
2019-C,(C) MANUFACTURING,28162,"Manufacture of derricks, lifting and handling equipment for construction and mining",,,,
2019-C,(C) MANUFACTURING,28163,"Manufacture of marine capstans, pulley tackle and hoists, etc.",,,,
2019-C,(C) MANUFACTURING,28169,"Manufacture of other lifting and handling equipment, n.e.c.",,,,
2019-C,(C) MANUFACTURING,28171,"Manufacture of calculating machines, adding machines, cash registers, calculators ",,,,
2019-C,(C) MANUFACTURING,28172,Manufacture of bills/coin counting and coin wrapping machinery,,,,
2019-C,(C) MANUFACTURING,28173,"Manufacture of postage meters, mail handling machines (envelope stuffing, sealing and addressing machinery, opening, sorting, scanning), collating machinery",,,,
2019-C,(C) MANUFACTURING,28174,Manufacture of typewriters,,,,
2019-C,(C) MANUFACTURING,28175,Manufacture of duplicating machines,,,,
2019-C,(C) MANUFACTURING,28176,Manufacture of photo-copying apparatus incorporating an optical system or of the contact type and thermo copying apparatus,,,,
2019-C,(C) MANUFACTURING,28177,Manufacture of other office and accounting machineries,,,,
2019-C,(C) MANUFACTURING,28179,"Manufacture of other office machinery and equipment (except computers and peripheral equipment), n.e.c.",,,,
2019-C,(C) MANUFACTURING,28180,Manufacture of power-driven hand tools,,,,
2019-C,(C) MANUFACTURING,28191,Manufacture of weighing machines except scientific weighing apparatus used for laboratories,,,,
2019-C,(C) MANUFACTURING,28192,Manufacture of refrigerating or freezing equipment for commercial purposes,,,,
2019-C,(C) MANUFACTURING,28193,Manufacture of unit air-conditioners,,,,
2019-C,(C) MANUFACTURING,28194,Manufacture of packing and wrapping machinery,,,,
2019-C,(C) MANUFACTURING,28195,Manufacture of machinery for cleaning or drying bottles or other containers or for aerating beverages,,,,
2019-C,(C) MANUFACTURING,28196,"Manufacture of fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use",,,,
2019-C,(C) MANUFACTURING,28197,Manufacture of calendering or other rolling machines other than for metals or glass,,,,
2019-C,(C) MANUFACTURING,28198,"Manufacture of gas or electric welding, brazing or soldering machines",,,,
2019-C,(C) MANUFACTURING,28199,"Manufacture of other general-purpose machinery, n.e.c. (including manufacture of specialized parts for general purpose machinery and equipment)",,,,
2019-C,(C) MANUFACTURING,28211,Manufacture of farm tractors,,,,
2019-C,(C) MANUFACTURING,28212,Manufacture of mechanical implements for crop production,,,,
2019-C,(C) MANUFACTURING,28213,Manufacture of animal husbandry machinery and equipment,,,,
2019-C,(C) MANUFACTURING,28219,"Manufacture of agricultural and forestry machinery and equipment, n.e.c.",,,,
2019-C,(C) MANUFACTURING,28221,Manufacture of machine tools for working metal,,,,
