business_bin,application_type,application_date,year,qtr_from,qtr_to,amount,discount,surcharge,interest,total,issued_date,valid_until,or_no,or_date,permit_no,business_plate_number,mode_of_payment
0403424-2024-0002234,R,01/09/2025,2025,1,4,10443.5,0,0,0,10443.5,01/13/2025,12/31/2025,9947043,01/13/2025,,1274,MANUAL
0403424-2024-0002235,R,01/03/2025,2025,1,4,10443.5,0,0,0,10443.5,01/13/2025,12/31/2025,9947044,01/13/2025,,1275,MANUAL
0403424-2024-0002237,R,01/25/2025,2025,1,1,7099.25,0,0,0,7099.25,01/22/2025,12/31/2025,9664055,01/22/2025,,1277,MANUAL
0403424-2024-0002238,R,01/03/2025,2025,1,4,3798,0,0,0,3798,01/31/2025,12/31/2025,2373144,01/28/2025,,1278,MANUAL
0403424-2024-0002239,R,01/16/2025,2025,1,4,4192,0,0,0,4192,01/10/2025,12/31/2025,5813017,01/10/2025,,1279,MANUAL
0403424-2024-0002240,R,01/04/2025,2025,1,4,6096,0,0,0,6096,02/06/2025,12/31/2025,9946829,01/09/2025,,1280,MANUAL
0403424-2024-0002241,R,01/10/2025,2025,1,4,6803,0,0,0,6803,01/08/2025,12/31/2025,5812808,01/07/2025,,1281,MANUAL
0403424-2024-0002242,R,01/17/2025,2025,1,4,5168,0,0,0,5168,01/20/2025,12/31/2025,9963868,01/20/2025,,1282,MANUAL
0403424-2024-0002244,R,01/07/2025,2025,1,4,6578,0,0,0,6578,01/24/2025,12/31/2025,9964229,01/24/2025,,1284,MANUAL
0403424-2024-0002245,R,01/06/2025,2025,1,4,4178,0,0,0,4178,01/04/2025,12/31/2025,4864814,01/02/2025,,1285,MANUAL
0403424-2024-0002246,R,01/14/2025,2025,1,4,4673,0,0,0,4673,01/04/2025,12/31/2025,4864830,01/02/2025,,1286,MANUAL
0403424-2024-0002247,R,01/02/2025,2025,1,4,12866,0,0,0,12866,01/04/2025,12/31/2025,4864873,01/03/2025,,1287,MANUAL
0403424-2024-0002248,R,01/10/2025,2025,1,4,14966,0,0,0,14966,01/04/2025,12/31/2025,4864872,01/03/2025,,1288,MANUAL
0403424-2024-0002251,R,01/18/2025,2025,1,4,7208,0,0,0,7208,01/18/2025,12/31/2025,9963141,01/18/2025,,1291,MANUAL
0403424-2024-0002252,R,01/20/2025,2025,1,4,6448,0,0,0,6448,01/10/2025,12/31/2025,9946136,01/10/2025,,1292,MANUAL
0403424-2024-0002253,R,01/24/2025,2025,1,4,30418,0,0,0,30418,01/11/2025,12/31/2025,9963368,01/11/2025,,1293,MANUAL
0403424-2024-0002254,R,01/07/2025,2025,1,4,10871,0,0,0,10871,01/20/2025,12/31/2025,9963723,01/17/2025,,1294,MANUAL
0403424-2024-0002255,R,01/11/2025,2025,1,4,5953,0,0,0,5953,01/06/2025,12/31/2025,5814241,01/06/2025,,1295,MANUAL
0403424-2024-0002256,R,01/03/2025,2025,1,1,12151.5,0,0,0,12151.5,01/31/2025,12/31/2025,2369289,01/30/2025,,1296,MANUAL
0403424-2024-0002256,R,01/03/2025,2025,2,2,3337.5,0,0,0,3337.5,01/31/2025,12/31/2025,1413122,04/16/2025,,1296,MANUAL
0403424-2024-0002257,R,01/20/2025,2025,1,4,16573,0,0,0,16573,01/24/2025,12/31/2025,9964267,01/24/2025,,1297,MANUAL
0403424-2024-0002258,R,01/02/2025,2025,1,4,12948,0,0,0,12948,01/08/2025,12/31/2025,9946682,01/08/2025,,1298,MANUAL
0403424-2024-0002259,R,01/16/2025,2025,1,4,6263,0,0,0,6263,01/16/2025,12/31/2025,9966082,01/16/2025,,1299,MANUAL
0403424-2024-0002260,R,01/04/2025,2025,1,4,7082.72,0,0,0,7082.72,03/17/2025,12/31/2025,2447868,03/17/2025,,1300,MANUAL
0403424-2024-0002261,R,01/21/2025,2025,1,4,2866,0,0,0,2866,01/09/2025,12/31/2025,5812994,01/09/2025,,1301,MANUAL
0403424-2024-0002262,R,01/03/2025,2025,1,4,5716,0,0,0,5716,01/04/2025,12/31/2025,5814177,01/03/2025,,1302,MANUAL
0403424-2024-0002263,R,01/03/2025,2025,1,4,2398,0,0,0,2398,01/22/2025,12/31/2025,9979394,01/22/2025,,1303,MANUAL
0403424-2024-0002264,R,01/11/2025,2025,1,4,37073.92,0,0,0,37073.92,01/11/2025,12/31/2025,9963402,01/11/2025,,1304,MANUAL
0403424-2024-0002265,R,01/07/2025,2025,1,4,3048,0,0,0,3048,01/06/2025,12/31/2025,9946566,01/06/2025,,1305,MANUAL
0403424-2024-0002266,R,01/09/2025,2025,1,4,8698,0,0,0,8698,01/09/2025,12/31/2025,9945809,01/08/2025,,1306,MANUAL
0403424-2024-0002267,R,01/28/2025,2025,1,4,4588,0,0,0,4588,01/14/2025,12/31/2025,5457436,01/02/2025,,1307,MANUAL
0403424-2024-0002268,R,01/06/2025,2025,1,4,3498,0,0,0,3498,01/07/2025,12/31/2025,7060275,01/07/2025,,1309,MANUAL
0403424-2024-0002269,R,01/10/2025,2025,1,4,4986,0,0,0,4986,01/18/2025,12/31/2025,9963739,01/18/2025,,1310,MANUAL
0403424-2024-0002270,R,01/09/2025,2025,1,4,6786,0,0,0,6786,01/06/2025,12/31/2025,5812606,01/03/2025,,1312,MANUAL
0403424-2024-0002272,R,01/20/2025,2025,1,4,8193,0,0,0,8193,01/16/2025,12/31/2025,9962415,01/16/2025,,1314,MANUAL
0403424-2024-0002273,R,01/22/2025,2025,1,4,10516,0,0,0,10516,01/04/2025,12/31/2025,5812590,01/03/2025,,1315,MANUAL
0403424-2024-0002274,R,01/10/2025,2025,1,4,5221,0,0,0,5221,01/04/2025,12/31/2025,5812591,01/03/2025,,1316,MANUAL
0403424-2024-0002275,R,01/11/2025,2025,1,4,4898,0,0,0,4898,01/04/2025,12/31/2025,5457487,01/02/2025,,1317,MANUAL
0403424-2024-0002276,R,02/20/2025,2025,1,4,2968,0,0,0,2968,01/25/2025,12/31/2025,9962730,01/18/2025,,1318,MANUAL
0403424-2024-0002277,R,02/20/2025,2025,1,4,2898,0,0,0,2898,01/07/2025,12/31/2025,7060274,01/07/2025,,1319,MANUAL
0403424-2024-0002278,R,01/11/2025,2025,1,4,23551,0,0,0,23551,01/08/2025,12/31/2025,5812582,01/03/2025,,1320,MANUAL
0403424-2024-0002279,R,01/03/2025,2025,1,4,8116,0,0,0,8116,01/08/2025,12/31/2025,5812584,01/03/2025,,1321,MANUAL
0403424-2024-0002281,R,01/08/2025,2025,1,1,5598,0,0,0,5598,01/07/2025,12/31/2025,9945072,01/07/2025,,1323,MANUAL
0403424-2024-0002281,R,01/08/2025,2025,2,2,1650,0,0,0,1650,01/07/2025,12/31/2025,2447983,03/27/2025,,1323,MANUAL
0403424-2024-0002282,R,01/10/2025,2025,1,4,20523,0,0,0,20523,01/08/2025,12/31/2025,9945806,01/08/2025,,1324,MANUAL
0403424-2024-0002283,R,01/07/2025,2025,1,4,211745.71,0,0,0,211745.71,01/10/2025,12/31/2025,9946408,01/10/2025,,1325,MANUAL
0403424-2024-0002284,R,01/07/2025,2025,1,4,4681,0,0,0,4681,01/07/2025,12/31/2025,5814290,01/07/2025,,1326,MANUAL
0403424-2024-0002285,R,01/07/2025,2025,1,1,21805.26,0,0,0,21805.26,01/11/2025,12/31/2025,9963400,01/11/2025,,1327,MANUAL
0403424-2024-0002285,R,01/07/2025,2025,2,2,8372.73,0,0,0,8372.73,01/11/2025,12/31/2025,1396034,04/07/2025,,1327,MANUAL
0403424-2024-0002286,R,01/07/2025,2025,1,4,32094.98,0,0,0,32094.98,01/11/2025,12/31/2025,9963399,01/11/2025,,1328,MANUAL
0403424-2024-0002287,R,01/09/2025,2025,1,4,30612.78,0,0,0,30612.78,01/11/2025,12/31/2025,9963401,01/11/2025,,1329,MANUAL
0403424-2024-0002288,R,01/10/2025,2025,1,1,61027.43,0,0,0,61027.43,01/11/2025,12/31/2025,9963403,01/11/2025,,1330,MANUAL
0403424-2024-0002288,R,01/10/2025,2025,2,2,44889.43,0,0,0,44889.43,01/11/2025,12/31/2025,1396033,04/07/2025,,1330,MANUAL
0403424-2024-0002289,R,01/10/2025,2025,1,1,11360.25,0,0,0,11360.25,01/22/2025,12/31/2025,9976963,01/22/2025,,1331,MANUAL
0403424-2024-0002289,R,01/10/2025,2025,2,2,2906.25,0,0,0,2906.25,01/22/2025,12/31/2025,1413075,04/14/2025,,1331,MANUAL
0403424-2024-0002290,R,01/10/2025,2025,1,1,7966,0,0,0,7966,01/08/2025,12/31/2025,5812865,01/08/2025,,1332,MANUAL
0403424-2024-0002290,R,01/10/2025,2025,2,2,1650,0,0,0,1650,01/08/2025,12/31/2025,2372650,04/14/2025,,1332,MANUAL
0403424-2024-0002290,R,01/10/2025,2025,3,3,0,0,0,0,0,01/08/2025,12/31/2025,2447982,03/27/2025,,1332,MANUAL
0403424-2024-0002291,R,01/17/2025,2025,1,4,10614,0,0,0,10614,01/07/2025,12/31/2025,7060278,01/07/2025,,1333,MANUAL
0403424-2024-0002292,R,01/04/2025,2025,1,4,22875,0,0,0,22875,01/27/2025,12/31/2025,9976953,01/21/2025,,1334,MANUAL
0403424-2024-0002293,R,01/14/2025,2025,1,4,419362,0,0,0,419362,01/07/2025,12/31/2025,7060277,01/07/2025,,1335,MANUAL
0403424-2024-0002294,R,01/14/2025,2025,1,4,5448,0,0,0,5448,01/14/2025,12/31/2025,9965983,01/14/2025,,1336,MANUAL
0403424-2024-0002295,R,01/16/2025,2025,1,4,90822.55,0,0,0,90822.55,01/11/2025,12/31/2025,5813046,01/10/2025,,1337,MANUAL
0403424-2024-0002296,R,01/16/2025,2025,1,4,12380,0,0,0,12380,01/07/2025,12/31/2025,7060276,01/07/2025,,1338,MANUAL
0403424-2025-0002297,N,01/16/2025,2025,1,4,6018,0,0,0,6018,01/22/2025,12/31/2025,2369710,01/22/2025,,1339,MANUAL
0403424-2024-0002299,R,01/06/2025,2025,1,4,7523,0,0,0,7523,01/07/2025,12/31/2025,5814280,01/06/2025,,1341,MANUAL
0403424-2024-0002300,R,01/17/2025,2025,1,1,5998,0,0,0,5998,01/07/2025,12/31/2025,9945071,01/07/2025,,1342,MANUAL
0403424-2024-0002301,R,01/04/2025,2025,1,4,7520,0,0,0,7520,01/11/2025,12/31/2025,5812662,01/04/2025,,1343,MANUAL
0403424-2024-0002302,R,01/07/2025,2025,1,4,120740,0,0,0,120740,01/07/2025,12/31/2025,7060281,01/07/2025,,1344,MANUAL
0403424-2024-0002303,R,01/09/2025,2025,1,4,12513.75,0,0,0,12513.75,01/17/2025,12/31/2025,9962490,01/17/2025,,1345,MANUAL
0403424-2024-0002304,R,01/10/2025,2025,1,4,10548,0,0,0,10548,01/31/2025,12/31/2025,9978822,01/31/2025,,1346,MANUAL
0403424-2024-0002305,R,01/30/2025,2025,1,4,13328,0,0,0,13328,01/21/2025,12/31/2025,9979246,01/21/2025,,1347,MANUAL
0403424-2024-0002306,R,01/03/2025,2025,1,4,12448,0,0,0,12448,01/07/2025,12/31/2025,5814273,01/06/2025,,1348,MANUAL
0403424-2024-0002307,R,01/03/2025,2025,1,4,15298,0,0,0,15298,01/22/2025,12/31/2025,9964027,01/22/2025,,1349,MANUAL
0403424-2024-0002308,R,01/11/2025,2025,1,4,16769,0,0,0,16769,01/22/2025,12/31/2025,9964035,01/22/2025,,1350,MANUAL
0403424-2024-0002309,R,01/16/2025,2025,1,4,11098,0,0,0,11098,01/22/2025,12/31/2025,9964033,01/22/2025,,1351,MANUAL
0403424-2024-0002310,R,01/04/2025,2025,1,4,9680,0,0,0,9680,01/22/2025,12/31/2025,9979193,01/21/2025,,1352,MANUAL
0403424-2024-0002311,R,01/03/2025,2025,1,2,57204.83,0,0,0,57204.83,01/18/2025,12/31/2025,5454748,01/18/2025,,1353,MANUAL
0403424-2024-0002311,R,01/03/2025,2025,2,2,0,0,0,0,0,01/18/2025,12/31/2025,3588627,06/11/2025,,1353,MANUAL
0403424-2024-0002312,R,01/03/2025,2025,1,4,3106,0,0,0,3106,01/09/2025,12/31/2025,9946792,01/09/2025,,1354,MANUAL
0403424-2024-0002313,R,01/02/2025,2025,1,4,10316,0,0,0,10316,01/07/2025,12/31/2025,5812757,01/07/2025,,1355,MANUAL
0403424-2024-0002314,R,03/26/2025,2025,1,4,10048,0,0,0,10048,01/11/2025,12/31/2025,9963353,01/11/2025,,1356,MANUAL
0403424-2024-0002315,R,01/02/2025,2025,1,4,3541,0,0,0,3541,01/09/2025,12/31/2025,5812993,01/09/2025,,1357,MANUAL
0403424-2024-0002316,R,02/14/2025,2025,1,4,10316,0,0,0,10316,01/07/2025,12/31/2025,5812759,01/07/2025,,1358,MANUAL
0403424-2024-0002317,R,01/20/2025,2025,1,4,12988,0,0,0,12988,01/07/2025,12/31/2025,5812563,01/07/2025,,1359,MANUAL
0403424-2024-0002318,R,01/24/2025,2025,1,4,2617,0,0,0,2617,01/25/2025,12/31/2025,2379298,01/25/2025,,1360,MANUAL
0403424-2024-0002319,R,01/09/2025,2025,1,4,18348,0,0,0,18348,01/04/2025,12/31/2025,5812618,01/03/2025,,1361,MANUAL
0403424-2024-0002320,R,01/09/2025,2025,1,4,20723,0,0,0,20723,01/18/2025,12/31/2025,9963789,01/18/2025,,1362,MANUAL
0403424-2024-0002321,R,01/11/2025,2025,1,4,16953.5,0,0,0,16953.5,01/04/2025,12/31/2025,5454711,01/04/2025,,1363,MANUAL
0403424-2024-0002322,R,01/22/2025,2025,1,4,6578,0,0,0,6578,01/23/2025,12/31/2025,9946438,01/10/2025,,1364,MANUAL
0403424-2024-0002323,R,02/07/2025,2025,1,4,1851.25,0,0,0,1851.25,01/23/2025,12/31/2025,9964177,01/23/2025,,1365,MANUAL
0403424-2024-0002324,R,01/11/2025,2025,1,4,9548,0,0,0,9548,01/09/2025,12/31/2025,9946131,01/09/2025,,1366,MANUAL
0403424-2024-0002325,R,01/11/2025,2025,1,4,3998,0,0,0,3998,01/09/2025,12/31/2025,5812877,01/08/2025,,1367,MANUAL
0403424-2024-0002326,R,01/18/2025,2025,1,4,4198,0,0,0,4198,01/07/2025,12/31/2025,5812778,01/07/2025,,1368,MANUAL
0403424-2024-0002327,R,01/08/2025,2025,1,4,12458,0,0,0,12458,01/14/2025,12/31/2025,9962260,01/14/2025,,1369,MANUAL
0403424-2024-0002328,R,01/20/2025,2025,1,1,3418201.63,0,0,0,3418201.63,02/12/2025,12/31/2025,9944593,01/16/2025,,1370,MANUAL
0403424-2024-0002328,R,01/20/2025,2025,2,2,3239886.97,0,0,0,3239886.97,02/12/2025,12/31/2025,2426405,03/17/2025,,1370,MANUAL
0403424-2024-0002328,R,01/20/2025,2025,3,3,3267899.31,0,0,0,3267899.31,02/12/2025,12/31/2025,3588738,06/24/2025,,1370,MANUAL
0403424-2024-0002329,R,01/08/2025,2025,1,4,8298,0,0,0,8298,01/23/2025,12/31/2025,9946436,01/10/2025,,1371,MANUAL
0403424-2024-0002330,R,01/13/2025,2025,1,4,7866,0,0,0,7866,01/06/2025,12/31/2025,5814255,01/06/2025,,1372,MANUAL
0403424-2024-0002331,R,01/06/2025,2025,1,4,6748,0,0,0,6748,01/31/2025,12/31/2025,9978820,01/31/2025,,1373,MANUAL
0403424-2024-0002332,R,01/08/2025,2025,1,4,8698,0,0,0,8698,01/21/2025,12/31/2025,9963220,01/20/2025,,1374,MANUAL
0403424-2024-0002333,R,01/16/2025,2025,1,1,20388,0,0,0,20388,01/20/2025,12/31/2025,9963173,01/20/2025,,1375,MANUAL
0403424-2024-0002333,R,01/16/2025,2025,2,2,7650,0,0,0,7650,01/20/2025,12/31/2025,2448072,04/21/2025,,1375,MANUAL
0403424-2024-0002334,R,01/25/2025,2025,1,4,3598,0,0,0,3598,01/25/2025,12/31/2025,2373005,01/25/2025,,1376,MANUAL
0403424-2024-0002335,R,01/28/2025,2025,1,4,3830,0,0,0,3830,01/09/2025,12/31/2025,9946675,01/07/2025,,1377,MANUAL
0403424-2024-0002336,R,01/08/2025,2025,1,1,7241.75,0,0,0,7241.75,01/25/2025,12/31/2025,9963883,01/20/2025,,1378,MANUAL
0403424-2024-0002336,R,01/08/2025,2025,2,2,3093.75,0,0,0,3093.75,01/25/2025,12/31/2025,1445077,04/15/2025,,1378,MANUAL
0403424-2024-0002337,R,01/13/2025,2025,1,1,7241.75,0,0,0,7241.75,01/25/2025,12/31/2025,9963884,01/20/2025,,1379,MANUAL
0403424-2024-0002337,R,01/13/2025,2025,2,2,3093.75,0,0,0,3093.75,01/25/2025,12/31/2025,1445078,04/15/2025,,1379,MANUAL
0403424-2024-0002338,R,01/07/2025,2025,1,4,16168,0,0,0,16168,01/04/2025,12/31/2025,5812617,01/03/2025,,1380,MANUAL
0403424-2024-0002339,R,01/20/2025,2025,1,4,7358,0,0,0,7358,01/23/2025,12/31/2025,9939520,01/20/2025,,1381,MANUAL
0403424-2024-0002340,R,01/20/2025,2025,1,4,8244,0,0,0,8244,01/16/2025,12/31/2025,9944592,01/16/2025,,1382,MANUAL
0403424-2024-0002342,R,01/11/2025,2025,1,4,19516,0,0,0,19516,01/04/2025,12/31/2025,5454713,01/04/2025,,1384,MANUAL
0403424-2024-0002343,R,01/14/2025,2025,1,4,10304,0,0,0,10304,01/22/2025,12/31/2025,9976955,01/22/2025,,1385,MANUAL
0403424-2024-0002345,R,01/13/2025,2025,1,4,10348,0,0,0,10348,01/07/2025,12/31/2025,5812756,01/07/2025,,1387,MANUAL
0403424-2024-0002347,R,01/08/2025,2025,1,4,19668,0,0,0,19668,01/08/2025,12/31/2025,5812840,01/08/2025,,1389,MANUAL
0403424-2024-0002348,R,01/16/2025,2025,1,4,18063,0,0,0,18063,01/10/2025,12/31/2025,9946082,01/09/2025,,1390,MANUAL
0403424-2024-0002349,R,01/13/2025,2025,1,4,21566,0,0,0,21566,01/31/2025,12/31/2025,2379509,01/30/2025,,1391,MANUAL
0403424-2024-0002350,R,01/14/2025,2025,1,4,12487,0,0,0,12487,01/06/2025,12/31/2025,5814261,01/06/2025,,1392,MANUAL
0403424-2024-0002351,R,01/10/2025,2025,1,4,5878,0,0,0,5878,01/10/2025,12/31/2025,9946887,01/10/2025,,1393,MANUAL
0403424-2024-0002352,R,01/08/2025,2025,1,4,10348,0,0,0,10348,01/10/2025,12/31/2025,9946083,01/09/2025,,1394,MANUAL
0403424-2024-0002353,R,01/08/2025,2025,1,4,4848,0,0,0,4848,01/25/2025,12/31/2025,9962743,01/18/2025,,1395,MANUAL
0403424-2025-0002354,N,01/06/2025,2025,1,4,3450.5,0,0,0,3450.5,01/27/2025,12/31/2025,9963239,01/20/2025,,1396,MANUAL
0403424-2024-0002355,R,01/22/2025,2025,1,4,2010,0,0,0,2010,01/22/2025,12/31/2025,9979327,01/22/2025,,1397,MANUAL
0403424-2024-0002356,R,01/08/2025,2025,1,1,6889.45,0,0,0,6889.45,01/10/2025,12/31/2025,5813025,01/10/2025,,1398,MANUAL
0403424-2024-0002356,R,01/08/2025,2025,2,2,0,0,0,0,0,01/10/2025,12/31/2025,1445144,04/28/2025,,1398,MANUAL
0403424-2024-0002357,R,01/07/2025,2025,1,1,335889.58,0,0,0,335889.58,01/17/2025,12/31/2025,9966163,01/17/2025,,1399,MANUAL
0403424-2024-0002357,R,01/07/2025,2025,2,2,0,0,0,0,0,01/17/2025,12/31/2025,2426435,03/18/2025,,1399,MANUAL
0403424-2025-0002358,N,02/20/2025,2025,1,4,5138,0,0,0,5138,02/20/2025,12/31/2025,2389999,02/20/2025,,1400,MANUAL
0403424-2025-0002359,N,01/08/2025,2025,1,4,3576,0,0,0,3576,02/20/2025,12/31/2025,2410768,02/20/2025,,1401,MANUAL
0403424-2024-0002360,R,01/11/2025,2025,1,4,2698,0,0,0,2698,01/11/2025,12/31/2025,9947006,01/11/2025,,1402,MANUAL
0403424-2024-0002362,R,01/03/2025,2025,1,4,10548,0,0,0,10548,01/11/2025,12/31/2025,9963359,01/11/2025,,1404,MANUAL
0403424-2024-0002363,R,01/25/2025,2025,1,2,2253149.97,0,0,0,2253149.97,03/18/2025,12/31/2025,5457797,01/17/2025,,1405,MANUAL
0403424-2024-0002364,R,01/06/2025,2025,1,4,9298,0,0,0,9298,01/09/2025,12/31/2025,5812973,01/09/2025,,1406,MANUAL
0403424-2024-0002365,R,01/02/2025,2025,1,4,3820,0,0,0,3820,01/24/2025,12/31/2025,9946406,01/10/2025,,1407,MANUAL
0403424-2024-0002367,R,01/10/2025,2025,1,4,8720.5,0,0,0,8720.5,01/07/2025,12/31/2025,5812820,01/07/2025,,1409,MANUAL
0403424-2024-0002368,R,01/10/2025,2025,1,4,20742,0,0,0,20742,01/09/2025,12/31/2025,9946640,01/07/2025,,1410,MANUAL
0403424-2024-0002370,R,01/04/2025,2025,1,4,27018,0,0,0,27018,01/07/2025,12/31/2025,5812822,01/07/2025,,1412,MANUAL
0403424-2024-0002371,R,01/09/2025,2025,1,4,6358,0,0,0,6358,01/10/2025,12/31/2025,9946135,01/10/2025,,1413,MANUAL
0403424-2024-0002372,R,01/18/2025,2025,1,4,52092.61,0,0,0,52092.61,01/18/2025,12/31/2025,9963763,01/18/2025,,1414,MANUAL
0403424-2024-0002373,R,04/30/2025,2025,1,4,10006,0,0,0,10006,01/13/2025,12/31/2025,9965951,01/13/2025,,1415,MANUAL
0403424-2024-0002375,R,01/18/2025,2025,1,4,5724.16,0,0,0,5724.16,01/18/2025,12/31/2025,9963762,01/18/2025,,1417,MANUAL
0403424-2024-0002376,R,01/18/2025,2025,1,4,12172.75,0,0,0,12172.75,01/10/2025,12/31/2025,9963313,01/10/2025,,1418,MANUAL
0403424-2024-0002377,R,01/24/2025,2025,1,4,6748,0,0,0,6748,01/31/2025,12/31/2025,2379655,01/31/2025,,1419,MANUAL
0403424-2024-0002378,R,01/31/2025,2025,1,4,6548,0,0,0,6548,01/31/2025,12/31/2025,2379654,01/31/2025,,1420,MANUAL
0403424-2024-0002379,R,01/17/2025,2025,1,4,6398,0,0,0,6398,01/17/2025,12/31/2025,9962486,01/17/2025,,1421,MANUAL
0403424-2024-0002380,R,01/11/2025,2025,1,4,5098,0,0,0,5098,01/06/2025,12/31/2025,5814221,01/04/2025,,1422,MANUAL
0403424-2024-0002381,R,02/07/2025,2025,1,4,407938.91,0,0,0,407938.91,01/30/2025,12/31/2025,2379544,01/30/2025,,1423,MANUAL
0403424-2024-0002383,R,01/04/2025,2025,1,4,25630,0,0,0,25630,01/28/2025,12/31/2025,9963842,01/20/2025,,1425,MANUAL
0403424-2024-0002384,R,01/20/2025,2025,1,4,10948,0,0,0,10948,02/18/2025,12/31/2025,9963841,01/20/2025,,1426,MANUAL
0403424-2024-0002385,R,01/20/2025,2025,1,4,10648,0,0,0,10648,02/18/2025,12/31/2025,9963843,01/20/2025,,1427,MANUAL
0403424-2024-0002386,R,01/04/2025,2025,1,4,13936,0,0,0,13936,01/06/2025,12/31/2025,5812682,01/04/2025,,1428,MANUAL
0403424-2024-0002387,R,01/08/2025,2025,1,4,5818,0,0,0,5818,01/06/2025,12/31/2025,5814254,01/06/2025,,1429,MANUAL
0403424-2024-0002388,R,01/17/2025,2025,1,4,2639.25,0,0,0,2639.25,01/17/2025,12/31/2025,9963733,01/17/2025,,1430,MANUAL
0403424-2024-0002390,R,01/22/2025,2025,1,4,17604,0,0,0,17604,01/07/2025,12/31/2025,9946633,01/07/2025,,1432,MANUAL
0403424-2024-0002391,R,01/22/2025,2025,1,4,18081,0,0,0,18081,01/10/2025,12/31/2025,9946081,01/09/2025,,1433,MANUAL
0403424-2024-0002392,R,01/11/2025,2025,1,4,5298,0,0,0,5298,01/10/2025,12/31/2025,5813026,01/10/2025,,1434,MANUAL
0403424-2024-0002393,R,01/10/2025,2025,1,4,4700.5,0,0,0,4700.5,01/30/2025,12/31/2025,2373883,01/30/2025,,1435,MANUAL
0403424-2024-0002394,R,01/03/2025,2025,1,4,7297.5,0,0,0,7297.5,01/16/2025,12/31/2025,5814197,01/03/2025,,1436,MANUAL
0403424-2024-0002395,R,01/10/2025,2025,1,4,6307,0,0,0,6307,01/16/2025,12/31/2025,5814198,01/03/2025,,1437,MANUAL
0403424-2024-0002396,R,01/10/2025,2025,1,1,4680.5,0,0,0,4680.5,01/18/2025,12/31/2025,9966331,01/18/2025,,1438,MANUAL
0403424-2024-0002396,R,01/10/2025,2025,2,2,2208.95,0,0,0,2208.95,01/18/2025,12/31/2025,2448002,04/11/2025,,1438,MANUAL
0403424-2024-0002397,R,01/20/2025,2025,1,4,13248,0,0,0,13248,01/28/2025,12/31/2025,9963845,01/20/2025,,1439,MANUAL
0403424-2024-0002398,R,01/10/2025,2025,1,4,3638,0,0,0,3638,01/04/2025,12/31/2025,4864956,01/04/2025,,1440,MANUAL
0403424-2024-0002399,R,01/08/2025,2025,1,4,45016,0,0,0,45016,01/28/2025,12/31/2025,9963840,01/20/2025,,1441,MANUAL
0403424-2024-0002400,R,01/10/2025,2025,1,4,5116,0,0,0,5116,01/04/2025,12/31/2025,4864883,01/03/2025,,1442,MANUAL
0403424-2024-0002401,R,01/10/2025,2025,1,4,5128.5,0,0,0,5128.5,01/04/2025,12/31/2025,5812601,01/03/2025,,1443,MANUAL
0403424-2024-0002402,R,01/10/2025,2025,1,4,6278,0,0,0,6278,01/04/2025,12/31/2025,5454701,01/02/2025,,1444,MANUAL
0403424-2024-0002404,R,01/27/2025,2025,1,4,14621,0,0,0,14621,01/04/2025,12/31/2025,5457440,01/02/2025,,1446,MANUAL
0403424-2024-0002405,R,02/14/2025,2025,1,4,3798,0,0,0,3798,02/26/2025,12/31/2025,2410717,02/14/2025,,1447,MANUAL
0403424-2024-0002406,R,01/27/2025,2025,1,4,5337.88,0,0,0,5337.88,01/27/2025,12/31/2025,9979158,01/20/2025,,1448,MANUAL
0403424-2024-0002407,R,01/23/2025,2025,1,4,6378,0,0,0,6378,01/24/2025,12/31/2025,2372691,01/24/2025,,1449,MANUAL
0403424-2024-0002408,R,01/27/2025,2025,1,4,8648,0,0,0,8648,01/09/2025,12/31/2025,9946099,01/09/2025,,1450,MANUAL
0403424-2024-0002409,R,01/13/2025,2025,1,4,8648,0,0,0,8648,01/09/2025,12/31/2025,9946100,01/09/2025,,1451,MANUAL
0403424-2024-0002410,R,01/27/2025,2025,1,4,3998,0,0,0,3998,01/13/2025,12/31/2025,944504,01/11/2025,,1452,MANUAL
0403424-2024-0002411,R,01/11/2025,2025,1,4,2476,0,0,0,2476,01/23/2025,12/31/2025,9977076,01/23/2025,,1453,MANUAL
0403424-2024-0002412,R,01/13/2025,2025,1,4,6458,0,0,0,6458,02/10/2025,12/31/2025,2402759,02/07/2025,,1454,MANUAL
0403424-2024-0002413,R,01/16/2025,2025,1,4,3098,0,0,0,3098,01/14/2025,12/31/2025,9944499,01/11/2025,,1455,MANUAL
0403424-2024-0002414,R,01/16/2025,2025,1,4,5948,0,0,0,5948,01/13/2025,12/31/2025,9944500,01/11/2025,,1456,MANUAL
0403424-2024-0002415,R,01/10/2025,2025,1,4,26685,0,0,0,26685,01/20/2025,12/31/2025,9963133,01/18/2025,,1457,MANUAL
0403424-2024-0002416,R,01/10/2025,2025,1,4,14878,0,0,0,14878,01/11/2025,12/31/2025,9963367,01/11/2025,,1458,MANUAL
0403424-2024-0002417,R,01/21/2025,2025,1,4,2698,0,0,0,2698,01/20/2025,12/31/2025,9963175,01/20/2025,,1459,MANUAL
0403424-2024-0002418,R,01/20/2025,2025,1,4,3798,0,0,0,3798,02/04/2025,12/31/2025,2388163,02/04/2025,,1460,MANUAL
0403424-2024-0002419,R,01/23/2025,2025,1,4,7008,0,0,0,7008,01/23/2025,12/31/2025,9979510,01/23/2025,,1461,MANUAL
